108,Mayakonda,BJP,N. LINGANNA,M,50556,INC,K.S.BASAVARAJ,44098,80.92%,190428,6458,DAVANAGERE
109,Channagiri,BJP,K MADALU VIRUPAKSHAPPA,M,73794,INC,VADNAL RAJANNA,48014,79.91%,196229,25780,DAVANAGERE
110,Honnali,BJP,M P RENUKACHARYA,M,80624,INC,SHANTHANAGOWDA D G,76391,82.80%,193283,4233,DAVANAGERE
111,Shimoga Rural,BJP,ASHOK NAIK,M,69326,JDS,SHARADA PURYANAIK,65549,81.16%,211513,3777,SHIMOGA
112,Bhadravathi,INC,B K SANGAMESHWARA,M,75722,JDS,APPAJI.M.J.,64155,73.13%,207624,11567,SHIMOGA
113,Shimoga,BJP,K S ESHWARAPPA,M,104027,INC,K.B. PRASANNA KUMAR,57920,66.73%,256361,46107,SHIMOGA
114,Tirthahalli,BJP,ARAGA JNANENDRA,M,67527,INC,KIMMANE RATHNAKAR,45572,84.83%,184122,21955,SHIMOGA
115,Shikaripura,BJP,B S YEDDIYURAPPA,M,86983,INC,GONI MALATESHA,51586,81.45%,188206,35397,SHIMOGA
116,Sorab,BJP,KUMAR BANGARAPPA,M,72091,JDS,S.MADHU BANGARAPPA,58805,84.47%,184585,13286,SHIMOGA
117,Sagar,BJP,HARATHALU HAALAPPA,M,78475,INC,KAGODU THIMMAPPA,70436,79.34%,193797,8039,SHIMOGA
118,Baindur,BJP,B. M. SUKUMAR SHETTY,M,96029,INC,K. GOPALA POOJARY,71636,78.93%,222427,24393,UDUPI
119,Kundapur,BJP,HAALADI SRINIVAS SHETTY,M,103434,INC,RAKESH MALLI,47029,79.00%,199575,56405,UDUPI
120,Udupi,BJP,K RAGHUPATHI BHAT,M,84946,INC,PRAMOD MADHWARAJ,72902,77.72%,207431,12044,UDUPI
121,Kapu,BJP,LALAJI MENDAN,M,75893,INC,VINAY KUMAR SORAKE,63976,78.51%,182972,11917,UDUPI
122,Karkala,BJP,V. SUNIL KUMAR,M,91245,INC,GOPALA BHANDARY,48679,80.13%,181010,42566,UDUPI
123,Sringeri,INC,T D RAJEGOWDA,M,62780,BJP,D N JEEVARAJ,60791,82.02%,166026,1989,CHIKKMAGALUR
124,Mudigere,BJP,M P KUMARSWAMY,M,58783,INC,MOTAMMA,46271,76.79%,170250,12512,CHIKKMAGALUR
125,Chikkamagalur,BJP,C T RAVI,M,70863,INC,B L SHANKAR,44549,73.72%,216230,26314,CHIKKMAGALUR
126,Tarikere,BJP,D S SURESH,M,44940,INDEPENDENT,G H SRINIVASA,33253,81.07%,182853,11687,CHIKKMAGALUR
127,Kadur,BJP,BELLI PRAKASH,M,62232,JDS,Y S V DATTA,46860,78.14%,201840,15372,CHIKKMAGALUR
128,Chikkanayakanhalli,BJP,J C MADHUSWAMY,M,69612,JDS,C.B SURESHBABU,59335,84.26%,212194,10277,TUMKUR
129,Tiptur,BJP,B C NAGESH,M,61383,INC,K. SHADAKSHARI,35820,83.20%,181471,25563,TUMKUR
130,Turuvekere,BJP,JAYARAM A S,M,60710,JDS,M T KRISHNAPPA,58661,84.43%,181166,2049,TUMKUR
131,Kunigal,INC,H D RANGANATH,M,58697,BJP,D KRISHNA KUMAR,53097,84.79%,190363,5600,TUMKUR
132,Tumkur City,BJP,JYOTHI GANESH,F,60421,JDS,N. GOVINDARAJU,55128,65.02%,259514,5293,TUMKUR
133,Tumkur Rural,JDS,GOWRI SHANKAR,F,82740,BJP,B SURESH GOWDA,77100,85.02%,201723,5640,TUMKUR
134,Koratagere,INC,DR. G. PARAMESHWARA,M,81598,JDS,P.R. SUDHAKAR LAL,73979,84.12%,202235,7619,TUMKUR
135,Gubbi,JDS,SRINIVAS,M,55572,BJP,G N BETTASWAMY,46491,84.54%,182861,9081,TUMKUR
136,Sira,JDS,SATYANARAYANA,M,74338,INC,T B JAYACHANDRA,63973,84.41%,212622,10365,TUMKUR
137,Pavagada,INC,VENKATARAMANAPPA,M,72974,JDS,K M THIMMARAYAPPA,72565,82.32%,197183,409,TUMKUR
138,Madhugiri,JDS,VEERABHADRAIAH,M,88521,INC,KYATHASANDRA N.RAJANNA,69947,85.51%,193273,18574,TUMKUR
139,Gauribidanur,INC,N.H.SHIVASHANKARA REDDY,M,69000,JDS,C.R.NARASIMHAMURTHY,59832,82.39%,203048,9168,CHIKABALLAPUR
